"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHDI","NET","AGRWTH","A","1970",5.29865447011804,
"AUS","HHDI","NET","AGRWTH","A","1971",4.21910427717534,
"AUS","HHDI","NET","AGRWTH","A","1972",7.14244520291142,
"AUS","HHDI","NET","AGRWTH","A","1973",8.10442333421154,
"AUS","HHDI","NET","AGRWTH","A","1974",4.27633099334613,
"AUS","HHDI","NET","AGRWTH","A","1975",0.979195151398138,
"AUS","HHDI","NET","AGRWTH","A","1976",3.22392694622722,
"AUS","HHDI","NET","AGRWTH","A","1977",1.03002218722057,
"AUS","HHDI","NET","AGRWTH","A","1978",3.29388808216075,
"AUS","HHDI","NET","AGRWTH","A","1979",0.649610576941708,
"AUS","HHDI","NET","AGRWTH","A","1980",3.61106738526882,
"AUS","HHDI","NET","AGRWTH","A","1981",4.6375595988525,
"AUS","HHDI","NET","AGRWTH","A","1982",-0.330677082155515,
"AUS","HHDI","NET","AGRWTH","A","1983",3.68044587414583,
"AUS","HHDI","NET","AGRWTH","A","1984",2.34836333078632,
"AUS","HHDI","NET","AGRWTH","A","1985",3.11414558210578,
"AUS","HHDI","NET","AGRWTH","A","1986",-0.545743870277737,
"AUS","HHDI","NET","AGRWTH","A","1987",1.9802764452954,
"AUS","HHDI","NET","AGRWTH","A","1988",5.15112502916372,
"AUS","HHDI","NET","AGRWTH","A","1989",4.14916416529854,
"AUS","HHDI","NET","AGRWTH","A","1990",0.719218121732914,
"AUS","HHDI","NET","AGRWTH","A","1991",0.682929759755785,
"AUS","HHDI","NET","AGRWTH","A","1992",1.9240439074815,
"AUS","HHDI","NET","AGRWTH","A","1993",1.84598166312116,
"AUS","HHDI","NET","AGRWTH","A","1994",3.78438363976072,
"AUS","HHDI","NET","AGRWTH","A","1995",3.71954533326423,
"AUS","HHDI","NET","AGRWTH","A","1996",3.98447837283847,
"AUS","HHDI","NET","AGRWTH","A","1997",2.51634483133494,
"AUS","HHDI","NET","AGRWTH","A","1998",4.02375433051093,
"AUS","HHDI","NET","AGRWTH","A","1999",3.84019749707005,
"AUS","HHDI","NET","AGRWTH","A","2000",3.76981374896185,
"AUS","HHDI","NET","AGRWTH","A","2001",4.36426630762756,
"AUS","HHDI","NET","AGRWTH","A","2002",0.021820395683255,
"AUS","HHDI","NET","AGRWTH","A","2003",6.0565918131538,
"AUS","HHDI","NET","AGRWTH","A","2004",5.5268201679681,
"AUS","HHDI","NET","AGRWTH","A","2005",2.35189638817248,
"AUS","HHDI","NET","AGRWTH","A","2006",5.16826457067624,
"AUS","HHDI","NET","AGRWTH","A","2007",6.34682859140092,
"AUS","HHDI","NET","AGRWTH","A","2008",7.24181541297598,
"AUS","HHDI","NET","AGRWTH","A","2009",1.04716450132784,
"AUS","HHDI","NET","AGRWTH","A","2010",5.55094818528465,
"AUS","HHDI","NET","AGRWTH","A","2011",3.03296795880449,
"AUS","HHDI","NET","AGRWTH","A","2012",0.339802096321155,
"AUS","HHDI","NET","AGRWTH","A","2013",2.6351972172942,
"AUS","HHDI","NET","AGRWTH","A","2014",2.61385353146468,
"AUS","HHDI","NET","AGRWTH","A","2015",1.33529276422207,
"AUS","HHDI","NET","AGRWTH","A","2016",1.90446335742445,
"AUS","HHDI","NET","AGRWTH","A","2017",1.68332285587474,
"AUT","HHDI","NET","AGRWTH","A","1996",-0.000635788819357,
"AUT","HHDI","NET","AGRWTH","A","1997",-0.274870488736532,
"AUT","HHDI","NET","AGRWTH","A","1998",2.95986508830662,
"AUT","HHDI","NET","AGRWTH","A","1999",3.88790233170238,
"AUT","HHDI","NET","AGRWTH","A","2000",1.52317193065182,
"AUT","HHDI","NET","AGRWTH","A","2001",-0.437765534306623,
"AUT","HHDI","NET","AGRWTH","A","2002",1.36770494561244,
"AUT","HHDI","NET","AGRWTH","A","2003",1.93804320839835,
"AUT","HHDI","NET","AGRWTH","A","2004",1.75518692386174,
"AUT","HHDI","NET","AGRWTH","A","2005",3.82893829418663,
"AUT","HHDI","NET","AGRWTH","A","2006",2.82196885686465,
"AUT","HHDI","NET","AGRWTH","A","2007",2.37730755539556,
"AUT","HHDI","NET","AGRWTH","A","2008",1.24543750882377,
"AUT","HHDI","NET","AGRWTH","A","2009",-0.03470705045144,
"AUT","HHDI","NET","AGRWTH","A","2010",-0.686109213590282,
"AUT","HHDI","NET","AGRWTH","A","2011",-0.334938489713187,
"AUT","HHDI","NET","AGRWTH","A","2012",1.39447895058908,
"AUT","HHDI","NET","AGRWTH","A","2013",-1.38437308792348,
"AUT","HHDI","NET","AGRWTH","A","2014",0.832701015611606,
"AUT","HHDI","NET","AGRWTH","A","2015",-0.098854738121946,
"AUT","HHDI","NET","AGRWTH","A","2016",2.40552572593707,
"AUT","HHDI","NET","AGRWTH","A","2017",0.715381988047875,
"BEL","HHDI","NET","AGRWTH","A","1996",0.115190442493345,
"BEL","HHDI","NET","AGRWTH","A","1997",0.747816812213251,
"BEL","HHDI","NET","AGRWTH","A","1998",1.97980252474841,
"BEL","HHDI","NET","AGRWTH","A","1999",1.82739668708369,
"BEL","HHDI","NET","AGRWTH","A","2000",1.96901554318016,
"BEL","HHDI","NET","AGRWTH","A","2001",2.41628588748841,
"BEL","HHDI","NET","AGRWTH","A","2002",-0.17411963705257,
"BEL","HHDI","NET","AGRWTH","A","2003",0.224232909814678,
"BEL","HHDI","NET","AGRWTH","A","2004",0.055826425867129,
"BEL","HHDI","NET","AGRWTH","A","2005",0.857321551265908,
"BEL","HHDI","NET","AGRWTH","A","2006",2.018083410186,
"BEL","HHDI","NET","AGRWTH","A","2007",1.96050466402689,
"BEL","HHDI","NET","AGRWTH","A","2008",2.21597788490927,
"BEL","HHDI","NET","AGRWTH","A","2009",1.80614339561789,
"BEL","HHDI","NET","AGRWTH","A","2010",-0.588662633923381,
"BEL","HHDI","NET","AGRWTH","A","2011",-0.47690013298081,
"BEL","HHDI","NET","AGRWTH","A","2012",0.158395977010935,
"BEL","HHDI","NET","AGRWTH","A","2013",0.158800230396895,
"BEL","HHDI","NET","AGRWTH","A","2014",1.0768252901001,
"BEL","HHDI","NET","AGRWTH","A","2015",0.394579159842876,
"BEL","HHDI","NET","AGRWTH","A","2016",1.32365389819682,
"BEL","HHDI","NET","AGRWTH","A","2017",1.2082812913089,
"CAN","HHDI","NET","AGRWTH","A","1994",0.317218764465968,"E"
"CAN","HHDI","NET","AGRWTH","A","1995",0.649196534203958,"E"
"CAN","HHDI","NET","AGRWTH","A","1996",0.213080698498035,"E"
"CAN","HHDI","NET","AGRWTH","A","1997",2.10222334597231,"E"
"CAN","HHDI","NET","AGRWTH","A","1998",3.09566299741919,"E"
"CAN","HHDI","NET","AGRWTH","A","1999",3.38948261390211,"E"
"CAN","HHDI","NET","AGRWTH","A","2000",3.4568614953024,"E"
"CAN","HHDI","NET","AGRWTH","A","2001",3.78622714534459,"E"
"CAN","HHDI","NET","AGRWTH","A","2002",2.15510754558588,"E"
"CAN","HHDI","NET","AGRWTH","A","2003",1.5253912288684,"E"
"CAN","HHDI","NET","AGRWTH","A","2004",3.31617834062629,"E"
"CAN","HHDI","NET","AGRWTH","A","2005",1.87456932006608,"E"
"CAN","HHDI","NET","AGRWTH","A","2006",5.33854505989366,"E"
"CAN","HHDI","NET","AGRWTH","A","2007",3.48753725074094,"E"
"CAN","HHDI","NET","AGRWTH","A","2008",3.85856142347216,"E"
"CAN","HHDI","NET","AGRWTH","A","2009",2.08373820785417,"E"
"CAN","HHDI","NET","AGRWTH","A","2010",3.41620774630781,"E"
"CAN","HHDI","NET","AGRWTH","A","2011",1.56601861500444,
"CAN","HHDI","NET","AGRWTH","A","2012",2.19643476525663,
"CAN","HHDI","NET","AGRWTH","A","2013",2.19033633214033,
"CAN","HHDI","NET","AGRWTH","A","2014",1.15283226971624,
"CAN","HHDI","NET","AGRWTH","A","2015",2.97441731122054,
"CAN","HHDI","NET","AGRWTH","A","2016",-0.110031841058589,
"CAN","HHDI","NET","AGRWTH","A","2017",3.57554622044137,
"CZE","HHDI","NET","AGRWTH","A","1996",6.40931455363859,
"CZE","HHDI","NET","AGRWTH","A","1997",2.33398255515109,
"CZE","HHDI","NET","AGRWTH","A","1998",-1.58878165168213,
"CZE","HHDI","NET","AGRWTH","A","1999",2.15189470946793,
"CZE","HHDI","NET","AGRWTH","A","2000",2.2517053952582,
"CZE","HHDI","NET","AGRWTH","A","2001",3.18776250840607,
"CZE","HHDI","NET","AGRWTH","A","2002",4.4964502712736,
"CZE","HHDI","NET","AGRWTH","A","2003",4.28182843102277,
"CZE","HHDI","NET","AGRWTH","A","2004",1.96814392853492,
"CZE","HHDI","NET","AGRWTH","A","2005",3.33421832392183,
"CZE","HHDI","NET","AGRWTH","A","2006",4.319144897988,
"CZE","HHDI","NET","AGRWTH","A","2007",2.89877411325347,
"CZE","HHDI","NET","AGRWTH","A","2008",2.08752019431409,
"CZE","HHDI","NET","AGRWTH","A","2009",2.34502993837525,
"CZE","HHDI","NET","AGRWTH","A","2010",0.379849992127783,
"CZE","HHDI","NET","AGRWTH","A","2011",-1.7606916908389,
"CZE","HHDI","NET","AGRWTH","A","2012",-1.14525105588359,
"CZE","HHDI","NET","AGRWTH","A","2013",-0.313640508948555,
"CZE","HHDI","NET","AGRWTH","A","2014",2.77510115381577,
"CZE","HHDI","NET","AGRWTH","A","2015",3.55257565716472,
"CZE","HHDI","NET","AGRWTH","A","2016",3.22113679794555,
"CZE","HHDI","NET","AGRWTH","A","2017",1.9470888442179,
"DNK","HHDI","NET","AGRWTH","A","1996",0.925693500533321,
"DNK","HHDI","NET","AGRWTH","A","1997",-0.419988080371836,
"DNK","HHDI","NET","AGRWTH","A","1998",3.04253027123509,
"DNK","HHDI","NET","AGRWTH","A","1999",-0.867489883601145,
"DNK","HHDI","NET","AGRWTH","A","2000",1.12948376726276,
"DNK","HHDI","NET","AGRWTH","A","2001",3.40999861814599,
"DNK","HHDI","NET","AGRWTH","A","2002",2.95689340989607,
"DNK","HHDI","NET","AGRWTH","A","2003",2.03705834694344,
"DNK","HHDI","NET","AGRWTH","A","2004",2.18159474002293,
"DNK","HHDI","NET","AGRWTH","A","2005",2.14519434233371,
"DNK","HHDI","NET","AGRWTH","A","2006",2.41976235870122,
"DNK","HHDI","NET","AGRWTH","A","2007",-0.192261402158205,
"DNK","HHDI","NET","AGRWTH","A","2008",0.386963573231017,
"DNK","HHDI","NET","AGRWTH","A","2009",2.71162462160495,
"DNK","HHDI","NET","AGRWTH","A","2010",3.35131594963482,
"DNK","HHDI","NET","AGRWTH","A","2011",0.881825264225637,
"DNK","HHDI","NET","AGRWTH","A","2012",-0.074057564986492,
"DNK","HHDI","NET","AGRWTH","A","2013",1.12609043366736,
"DNK","HHDI","NET","AGRWTH","A","2014",1.51442944250946,
"DNK","HHDI","NET","AGRWTH","A","2015",3.587097594159,
"DNK","HHDI","NET","AGRWTH","A","2016",3.52304955543301,
"DNK","HHDI","NET","AGRWTH","A","2017",1.68437900409684,
"DNK","HHDI","NET","AGRWTH","A","2018",1.33269956526198,
"FIN","HHDI","NET","AGRWTH","A","1996",0.303560998644706,
"FIN","HHDI","NET","AGRWTH","A","1997",4.44805643667385,
"FIN","HHDI","NET","AGRWTH","A","1998",3.48526744392939,
"FIN","HHDI","NET","AGRWTH","A","1999",4.60266284039081,
"FIN","HHDI","NET","AGRWTH","A","2000",1.60354891697857,
"FIN","HHDI","NET","AGRWTH","A","2001",1.98970201806204,
"FIN","HHDI","NET","AGRWTH","A","2002",2.84161208438496,
"FIN","HHDI","NET","AGRWTH","A","2003",3.41691553576132,
"FIN","HHDI","NET","AGRWTH","A","2004",3.93468161995304,
"FIN","HHDI","NET","AGRWTH","A","2005",1.508478589469,
"FIN","HHDI","NET","AGRWTH","A","2006",2.25027228090667,
"FIN","HHDI","NET","AGRWTH","A","2007",2.99469790942188,
"FIN","HHDI","NET","AGRWTH","A","2008",2.23699300460734,
"FIN","HHDI","NET","AGRWTH","A","2009",1.03945257487173,
"FIN","HHDI","NET","AGRWTH","A","2010",2.34960358235671,
"FIN","HHDI","NET","AGRWTH","A","2011",1.00374846675339,
"FIN","HHDI","NET","AGRWTH","A","2012",-0.02667400431082,
"FIN","HHDI","NET","AGRWTH","A","2013",0.316188698411828,
"FIN","HHDI","NET","AGRWTH","A","2014",-0.743258025111333,
"FIN","HHDI","NET","AGRWTH","A","2015",1.09806537492038,
"FIN","HHDI","NET","AGRWTH","A","2016",1.3108596492242,
"FIN","HHDI","NET","AGRWTH","A","2017",1.32529917622458,
"FIN","HHDI","NET","AGRWTH","A","2018",1.90373881825408,
"FRA","HHDI","NET","AGRWTH","A","1979",1.04320680262893,
"FRA","HHDI","NET","AGRWTH","A","1980",0.53465769008831,
"FRA","HHDI","NET","AGRWTH","A","1981",1.75304804729084,
"FRA","HHDI","NET","AGRWTH","A","1982",2.72293155090075,
"FRA","HHDI","NET","AGRWTH","A","1983",0.389516275166445,
"FRA","HHDI","NET","AGRWTH","A","1984",-0.262498395178515,
"FRA","HHDI","NET","AGRWTH","A","1985",1.35819072217513,
"FRA","HHDI","NET","AGRWTH","A","1986",2.76723752714016,
"FRA","HHDI","NET","AGRWTH","A","1987",1.71413585554432,
"FRA","HHDI","NET","AGRWTH","A","1988",3.26352786158416,
"FRA","HHDI","NET","AGRWTH","A","1989",3.4437601131386,
"FRA","HHDI","NET","AGRWTH","A","1990",3.97917749562595,
"FRA","HHDI","NET","AGRWTH","A","1991",1.43342093749502,
"FRA","HHDI","NET","AGRWTH","A","1992",2.69021328631705,
"FRA","HHDI","NET","AGRWTH","A","1993",0.955187659655689,
"FRA","HHDI","NET","AGRWTH","A","1994",0.644494385626039,
"FRA","HHDI","NET","AGRWTH","A","1995",2.1122743004655,
"FRA","HHDI","NET","AGRWTH","A","1996",1.19526233682298,
"FRA","HHDI","NET","AGRWTH","A","1997",1.30275802285236,
"FRA","HHDI","NET","AGRWTH","A","1998",2.95253808306205,
"FRA","HHDI","NET","AGRWTH","A","1999",2.79827790983091,
"FRA","HHDI","NET","AGRWTH","A","2000",3.33869102163526,
"FRA","HHDI","NET","AGRWTH","A","2001",3.01384818643186,
"FRA","HHDI","NET","AGRWTH","A","2002",3.06600768996427,
"FRA","HHDI","NET","AGRWTH","A","2003",0.956784706444131,
"FRA","HHDI","NET","AGRWTH","A","2004",2.04058816902582,
"FRA","HHDI","NET","AGRWTH","A","2005",1.22803789492718,
"FRA","HHDI","NET","AGRWTH","A","2006",2.51648169919912,
"FRA","HHDI","NET","AGRWTH","A","2007",2.91956276538059,
"FRA","HHDI","NET","AGRWTH","A","2008",0.531569526918912,
"FRA","HHDI","NET","AGRWTH","A","2009",1.81588537320125,
"FRA","HHDI","NET","AGRWTH","A","2010",1.77293083018834,
"FRA","HHDI","NET","AGRWTH","A","2011",0.345899213692641,
"FRA","HHDI","NET","AGRWTH","A","2012",0.07479180173558,
"FRA","HHDI","NET","AGRWTH","A","2013",-0.588046590302327,
"FRA","HHDI","NET","AGRWTH","A","2014",1.36546977079526,
"FRA","HHDI","NET","AGRWTH","A","2015",1.05605911450014,
"FRA","HHDI","NET","AGRWTH","A","2016",1.53746630035802,"E"
"FRA","HHDI","NET","AGRWTH","A","2017",1.63822058978234,"E"
"DEU","HHDI","NET","AGRWTH","A","1996",1.29646494367303,
"DEU","HHDI","NET","AGRWTH","A","1997",0.525287475762486,
"DEU","HHDI","NET","AGRWTH","A","1998",1.16444489487317,
"DEU","HHDI","NET","AGRWTH","A","1999",1.83634691550755,
"DEU","HHDI","NET","AGRWTH","A","2000",1.00824036108976,
"DEU","HHDI","NET","AGRWTH","A","2001",2.47893969764851,
"DEU","HHDI","NET","AGRWTH","A","2002",-0.461954269639026,
"DEU","HHDI","NET","AGRWTH","A","2003",0.789378608916034,
"DEU","HHDI","NET","AGRWTH","A","2004",0.466328436360555,
"DEU","HHDI","NET","AGRWTH","A","2005",0.402568505742854,
"DEU","HHDI","NET","AGRWTH","A","2006",0.990761544776883,
"DEU","HHDI","NET","AGRWTH","A","2007",0.401535154712268,
"DEU","HHDI","NET","AGRWTH","A","2008",1.0559646515575,
"DEU","HHDI","NET","AGRWTH","A","2009",-0.090146963964962,
"DEU","HHDI","NET","AGRWTH","A","2010",0.659189175653108,
"DEU","HHDI","NET","AGRWTH","A","2011",1.03307837777567,
"DEU","HHDI","NET","AGRWTH","A","2012",0.910162801974067,
"DEU","HHDI","NET","AGRWTH","A","2013",0.464166992041979,
"DEU","HHDI","NET","AGRWTH","A","2014",1.66469116505689,
"DEU","HHDI","NET","AGRWTH","A","2015",2.27395281265638,
