LOCATION,TIME,Value_disposable_income,Value_adult_education,Value_alcohol_consumption,Value_air_pollution,Value_overweight_population,Value_avg_annual_hours,Happiness Rank,HDI Rank (2017),income_inequality,unemployment,HDI_value,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Australia,2015,37740.1750789875,42.888756,9.7,27.356720000000003,64.03333333333333,1683.55,10.0,,8.0,6.1,0.936,Australia and New Zealand,7.284,1.33358,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646
Australia,2016,38658.8480642729,43.7439,9.4,26.00392,64.5,1673.4,9.0,,8.3,5.7,0.938,Australia and New Zealand,7.313,1.4444299999999999,1.10476,0.8512,0.5683699999999999,0.32331,0.47407,2.5465
Australia,2017,39928.8170965881,45.355675,9.55,25.97999,,1674.9,10.0,3.0,8.0,5.7,0.939,Australia and New Zealand,7.28399991989136,1.4844149351120002,1.5100419521331798,0.84388679265976,0.601607382297516,0.301183730363846,0.47769924998283403,2.06521081924438
Austria,2015,34429.7982747663,30.550726,11.6,93.02611,53.9,1500.0,13.0,,8.5,5.7,0.903,Western Europe,7.2,1.33723,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2.5332
Austria,2016,35653.3156254511,31.383963,11.8,87.03744,54.29999999999999,1512.0,12.0,,7.4,6.0,0.906,Western Europe,7.119,1.45038,1.0838299999999998,0.80565,0.54355,0.21348000000000003,0.32865,2.6934299999999998
Austria,2017,36166.190395300895,32.39439,11.7,87.03754,,1511.0,13.0,20.0,7.8,5.5,0.908,Western Europe,7.00600004196167,1.4870972633361799,1.4599449634552,0.8153284192085269,0.567766189575195,0.22106036543846105,0.316472321748734,2.1385064125061004
Belgium,2015,32180.143590169,36.857422,10.4,96.32111,59.20000000000001,1545.0,19.0,,8.3,8.5,0.913,Western Europe,6.937,1.30782,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2.4148400000000003
Belgium,2016,32965.9013274147,37.503956,10.4,93.32899,59.5,1545.0,18.0,,8.8,7.8,0.915,Western Europe,6.928999999999999,1.42539,1.05249,0.8195899999999999,0.51354,0.26248,0.2424,2.61355
Belgium,2017,33946.477040579,40.257053000000006,10.4,93.53039,,1545.0,17.0,17.0,8.7,7.4,0.916,Western Europe,6.89099979400635,1.4637807607650801,1.4623126983642598,0.8180918693542479,0.5397707223892211,0.251343131065369,0.23150333762168898,2.12421035766602
Canada,2015,31845.9328136125,55.17366,8.0,0.94055,63.666666666666664,1712.0,5.0,,8.7,6.9,0.92,North America,7.4270000000000005,1.32629,1.32261,0.9056299999999999,0.63297,0.32957,0.45811,2.4517599999999997
Canada,2016,31890.3776644425,56.26506800000001,8.1,0.0,64.13333333333334,1706.0,6.0,,7.9,7.0,0.922,North America,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44833999999999996,2.70485
